445	fffd	0002	-3	2
446	fffd	fffd	-3	-3
447	fffc	ffff	-4	-1
448	fc58	ffff	-936	-1
449	0033	0050	51	80
450	fffd	0000	-3	0
451	fffa	0001	-6	1
452	fffc	fffc	-4	-4
453	fffd	0005	-3	5
454	fffd	ffff	-3	-1
455	fffb	0000	-5	0
456	fff3	0004	-13	4
457	ffec	0060	-20	96
458	fffc	ffff	-4	-1
459	fffd	0002	-3	2
460	fffb	fffc	-5	-4
461	fffb	0004	-5	4
462	fffc	fffe	-4	-2
463	fffb	0000	-5	0
464	00e7	ff43	231	-189
465	ff29	00ee	-215	238
466	fffd	ffff	-3	-1
467	fffc	0002	-4	2
468	fffc	fffc	-4	-4
469	fffb	0006	-5	6
470	fffd	fffe	-3	-2
471	fffd	0000	-3	0
472	ffff	ffb7	-1	-73
473	000f	ffe8	15	-24
474	fffc	ffff	-4	-1
475	fffb	0001	-5	1
476	fff8	fffa	-8	-6
477	fffc	0002	-4	2
478	fffd	fffd	-3	-3
479	fffc	ffff	-4	-1
480	ff84	0082	-124	130
481	ff71	ffab	-143	-85
482	fffd	ffff	-3	-1
483	fffe	0002	-2	2
484	fffe	fffe	-2	-2
485	fffe	0006	-2	6
486	fffc	fffe	-4	-2
487	fffc	0001	-4	1
488	001a	fff5	26	-11
489	ffe0	ffe3	-32	-29
490	fffc	ffff	-4	-1
491	fffa	0002	-6	2
492	fffc	fffa	-4	-6
493	fffc	0005	-4	5
494	fffc	fffe	-4	-2
495	fffb	0000	-5	0
496	0008	ffd0	8	-48
497	00c6	000e	198	14
498	fffd	ffff	-3	-1
499	fffe	0002	-2	2
500	ffff	fffb	-1	-5
501	fffc	0004	-4	4
502	fffd	fffe	-3	-2
503	fffc	0000	-4	0
504	ff61	ff9f	-159	-97
505	ffef	0009	-17	9
506	fffd	0000	-3	0
507	fffc	0000	-4	0
508	fff6	0001	-10	1
509	fffa	0002	-6	2
510	fffc	fffc	-4	-4
511	fffb	0000	-5	0
512	007f	ff06	127	-250
513	0060	002f	96	47
