394	fff7	ffff	-9	-1
395	fff4	0006	-12	6
396	fff1	ffef	-15	-17
397	fff2	000e	-14	14
398	fff5	fff8	-11	-8
399	fff4	0000	-12	0
400	0033	0228	51	552
401	ff8a	ffca	-118	-54
402	fff5	fffe	-11	-2
403	fff5	0008	-11	8
404	fff5	fff0	-11	-16
405	fff3	000e	-13	14
406	fff4	fff9	-12	-7
407	fff5	0001	-11	1
408	0055	0064	85	100
409	fffb	ffda	-5	-38
410	fff5	fffd	-11	-3
411	fff3	0003	-13	3
412	fff5	ffe8	-11	-24
413	fff8	000d	-8	13
414	fff5	fff7	-11	-9
415	fff5	0000	-11	0
416	fe68	ffe0	-408	-32
417	08e2	015d	2274	349
418	fff5	ffff	-11	-1
419	fff6	0008	-10	8
420	fff4	fff3	-12	-13
421	ffe8	0024	-24	36
422	fff7	fffa	-9	-6
423	fff5	0003	-11	3
424	fff4	ffec	-12	-20
425	ffea	003e	-22	62
426	fff5	fffd	-11	-3
427	fff6	0007	-10	7
428	fffa	fff6	-6	-10
429	fff7	0009	-9	9
430	fff5	fff7	-11	-9
431	fff4	0001	-12	1
432	0015	ff12	21	-238
433	0154	009f	340	159
434	fff4	fffd	-12	-3
435	fff5	0007	-11	7
436	fff4	fff2	-12	-14
437	fff2	0013	-14	19
438	fff6	fff9	-10	-7
439	fff4	0002	-12	2
440	0046	ff99	70	-103
441	ffb1	0046	-79	70
442	fff6	fffc	-10	-4
443	fff5	0005	-11	5
444	fff1	fff4	-15	-12
445	fff2	0009	-14	9
446	fff4	fff7	-12	-9
447	fff5	0000	-11	0
448	fe4e	fc30	-434	-976
449	fcac	00d0	-852	208
450	fff5	0000	-11	0
451	fff2	0009	-14	9
452	fff3	fff6	-13	-10
453	fff4	000b	-12	11
454	fff6	fffa	-10	-6
455	fff6	0002	-10	2
456	fff2	ff96	-14	-106
457	0100	0080	256	128
458	fff5	fffd	-11	-3
459	fff5	0006	-11	6
460	fff0	ffed	-16	-19
461	fff2	000d	-14	13
462	fff5	fff9	-11	-7
463	fff5	0000	-11	0
464	fe8c	009e	-372	158
465	0109	ff7e	265	-130
466	fff5	fffe	-11	-2
467	fff5	0007	-11	7
468	fff3	fff6	-13	-10
469	ffef	001b	-17	27
470	fff6	fffa	-10	-6
471	fff4	0001	-12	1
472	ffc4	0012	-60	18
473	ffe2	005d	-30	93
474	fff5	fffc	-11	-4
475	fff5	0004	-11	4
476	fffb	0000	-5	0
477	fff5	000c	-11	12
478	fff4	fff7	-12	-9
479	fff4	0000	-12	0
480	00a3	fd4b	163	-693
481	002b	00e1	43	225
482	fff5	ffff	-11	-1
483	fff4	0008	-12	8
484	fff0	fff2	-16	-14
485	fff2	0015	-14	21
486	fff5	fffb	-11	-5
487	fff5	0002	-11	2
488	ffa5	ffa3	-91	-93
489	0038	000d	56	13
490	fff5	fffe	-11	-2
491	fff3	0005	-13	5
492	fff3	ffe5	-13	-27
493	fff8	000d	-8	13
494	fff4	fff9	-12	-7
495	fff4	0001	-12	1
496	001b	ff17	27	-233
497	ff27	01d4	-217	468
498	fff6	fffe	-10	-2
499	fff5	0006	-11	6
500	fff4	fff0	-12	-16
501	fff2	0010	-14	16
502	fff5	fff9	-11	-7
503	fff4	0002	-12	2
504	ff83	00c7	-125	199
505	ffe6	0031	-26	49
506	fff6	fffb	-10	-5
507	fff5	0004	-11	4
508	fff3	ffe6	-13	-26
509	fff2	0008	-14	8
510	fff4	fff6	-12	-10
511	fff4	fffe	-12	-2
512	006c	0124	108	292
513	0081	ffb2	129	-78
514	fff5	0000	-11	0
515	fff5	000a	-11	10
516	fff6	fff6	-10	-10
517	ffde	001c	-34	28
518	fff5	fffb	-11	-5
519	fff5	0003	-11	3
520	fff5	002d	-11	45
521	ff9f	fffb	-97	-5
522	fff5	fffe	-11	-2
523	fff4	0006	-12	6
524	fff3	ffef	-13	-17
525	fff3	000f	-13	15
526	fff8	fffa	-8	-6
527	fff5	0000	-11	0
528	fffa	01bd	-6	445
529	0249	001e	585	30
530	fff5	ffff	-11	-1
531	fff8	000b	-8	11
532	fff3	fff3	-13	-13
533	fff4	0016	-12	22
534	fff5	fffc	-11	-4
535	fff3	0002	-13	2
536	006a	0016	106	22
537	ffe2	ffa5	-30	-91
538	fff6	fffd	-10	-3
539	fff5	0005	-11	5
540	fff4	ffea	-12	-22
541	fff2	000a	-14	10
542	fff3	fff8	-13	-8
543	fff5	0001	-11	1
544	ff85	ff2c	-123	-212
545	02af	0683	687	1667
546	fff5	ffff	-11	-1
547	fff4	0009	-12	9
548	fff7	fff7	-9	-9
549	fff3	0008	-13	8
550	fff6	fffb	-10	-5
551	fff4	0003	-12	3
552	fff3	ffcb	-13	-53
553	ffbe	fff5	-66	-11
554	fff3	fffe	-13	-2
555	fff4	0006	-12	6
556	fff0	ffeb	-16	-21
557	ffef	0011	-17	17
558	fff4	fff9	-12	-7
559	fff3	0001	-13	1
560	016c	febc	364	-324
561	0087	006b	135	107
562	fff6	fffe	-10	-2
563	fff5	0006	-11	6
564	fff4	fff1	-12	-15
565	ffef	0012	-17	18
566	fff5	fffa	-11	-6
567	fff5	0001	-11	1
568	ffc5	00ab	-59	171
569	ffe6	0050	-26	80
570	fff5	fffc	-11	-4
571	fff6	0004	-10	4
572	fff5	fff6	-11	-10
573	fff4	000a	-12	10
574	fff9	fff7	-7	-9
575	fff4	ffff	-12	-1
576	002d	011b	45	283
577	0039	fdb2	57	-590
578	fff5	0000	-11	0
579	fff4	0009	-12	9
580	fff2	fff6	-14	-10
581	ffdf	0006	-33	6
582	fff5	fffc	-11	-4
583	fff4	0003	-12	3
584	ffb9	ffeb	-71	-21
585	0046	0052	70	82
586	fff5	fffd	-11	-3
587	fff3	0006	-13	6
588	fff4	ffed	-12	-19
589	fff3	000e	-13	14
590	fff5	fff8	-11	-8
591	fff5	0001	-11	1
592	0485	0069	1157	105
593	0252	ff82	594	-126
594	fff5	ffff	-11	-1
595	fff4	0008	-12	8
596	fff6	fff3	-10	-13
597	fff8	000b	-8	11
598	fff5	fffb	-11	-5
599	fff4	0003	-12	3
600	ffe2	ffce	-30	-50
601	ffc4	0021	-60	33
602	fff5	fffd	-11	-3
603	fff4	0006	-12	6
604	fff0	ffde	-16	-34
605	fff4	000c	-12	12
606	fff5	fff7	-11	-9
607	fff5	0000	-11	0
608	fe5e	fdf5	-418	-523
609	f70c	03be	-2292	958
610	fff5	ffff	-11	-1
611	fff4	0008	-12	8
612	fff4	fff4	-12	-12
613	fff3	0019	-13	25
614	fff6	fffa	-10	-6
615	fff5	0002	-11	2
616	fff1	001e	-15	30
617	fe7c	00ab	-388	171
618	fff7	fffe	-9	-2
619	fff5	0006	-11	6
620	fff6	fff0	-10	-16
621	fff2	000b	-14	11
622	fff4	fff8	-12	-8
623	fff4	0000	-12	0
624	0074	00cb	116	203
625	fea2	ff49	-350	-183
626	fff5	fffe	-11	-2
627	fff3	0007	-13	7
628	fff3	fff1	-13	-15
629	fff1	000f	-15	15
630	fff5	fffa	-11	-6
631	fff5	0002	-11	2
632	ffeb	ff85	-21	-123
633	fff0	002f	-16	47
634	fff6	fffd	-10	-3
635	fff5	0002	-11	2
636	ffea	ffe1	-22	-31
637	fff5	000a	-11	10
638	fff3	fff7	-13	-9
639	fff4	0000	-12	0
640	0281	ff7c	641	-132
641	063d	fe8b	1597	-373
642	fff5	0000	-11	0
643	fff4	000a	-12	10
644	fff4	fff6	-12	-10
645	fff2	001b	-14	27
646	fff4	fffa	-12	-6
647	fff5	0003	-11	3
648	fff5	ffe4	-11	-28
649	ffc3	00ab	-61	171
650	fff5	fffd	-11	-3
651	fff4	0007	-12	7
652	fff2	ffee	-14	-18
653	fff2	000e	-14	14
654	fff5	fff8	-11	-8
655	fff4	0001	-12	1
656	fec2	ff08	-318	-248
657	ff80	013b	-128	315
658	fff5	ffff	-11	-1
659	fff5	0009	-11	9
660	fff2	fff1	-14	-15
661	fff2	000d	-14	13
662	fff4	fffa	-12	-6
663	fff5	0001	-11	1
664	ffdf	0028	-33	40
665	00e6	fecc	230	-308
666	fff5	fffd	-11	-3
667	fff5	0005	-11	5
668	fff4	ffe9	-12	-23
669	fff2	000c	-14	12
670	fff5	fff7	-11	-9
671	fff4	0000	-12	0
672	ff14	fea8	-236	-344
673	060e	0216	1550	534
674	fff5	ffff	-11	-1
675	fff4	0008	-12	8
676	fff8	fff6	-8	-10
677	ffe2	002d	-30	45
678	fff5	fffb	-11	-5
679	fff5	0003	-11	3
680	fff0	ffe7	-16	-25
681	ffd0	ffce	-48	-50
682	fff5	fffc	-11	-4
683	fff3	0006	-13	6
684	0012	ffff	18	-1
685	fff0	000f	-16	15
686	fff3	fff8	-13	-8
687	fff3	0000	-13	0
688	00a5	0049	165	73
689	0172	000e	370	14
690	fff5	ffff	-11	-1
691	fff5	0007	-11	7
692	fff4	fff1	-12	-15
693	fff1	0013	-15	19
694	fff5	fffa	-11	-6
695	fff4	0002	-12	2
696	002d	fee4	45	-284
697	fff7	0023	-9	35
698	fff5	fffc	-11	-4
699	fff5	0004	-11	4
700	fff2	ffef	-14	-17
701	fff1	0008	-15	8
702	fff4	fff7	-12	-9
703	fff4	0000	-12	0
704	0064	fa83	100	-1405
705	0140	fe17	320	-489
706	fff5	ffff	-11	-1
707	fff4	0009	-12	9
708	fff2	ffee	-14	-18
709	fff6	000a	-10	10
710	fff5	fffb	-11	-5
711	fff5	0005	-11	5
712	fff3	ffeb	-13	-21
