0	ff04	ffc2	-252	-62
504	ffe1	ff23	-31	-221
505	fff9	ffed	-7	-19
506	0003	0001	3	1
507	0004	fffe	4	-2
508	0002	000e	2	14
509	0004	fffb	4	-5
510	0005	0004	5	4
511	0004	ffff	4	-1
512	ff40	ff96	-192	-106
513	ff00	0039	-256	57
514	0004	0000	4	0
515	0005	fffa	5	-6
516	0004	0002	4	2
517	0008	ffe5	8	-27
518	0002	0001	2	1
519	0003	fffd	3	-3
520	0000	0012	0	18
521	ffc4	007c	-60	124
522	0004	0000	4	0
523	0003	fffc	3	-4
524	0003	0006	3	6
525	0004	fff8	4	-8
526	0004	0000	4	0
527	0004	fffe	4	-2
528	007a	0017	122	23
529	fcc1	0377	-831	887
530	0004	0000	4	0
531	0005	fffb	5	-5
532	0004	0006	4	6
533	0004	fff8	4	-8
534	0004	0001	4	1
535	0004	fffd	4	-3
536	001d	0026	29	38
537	001c	0002	28	2
538	0004	0000	4	0
539	0004	fffc	4	-4
540	ffff	0007	-1	7
541	0006	fffa	6	-6
542	0004	0003	4	3
543	0004	fffe	4	-2
544	0047	00a3	71	163
545	0666	fab7	1638	-1353
546	0003	0000	3	0
547	0005	fff9	5	-7
548	0003	0004	3	4
549	0006	fff8	6	-8
550	0004	0001	4	1
551	0005	fffd	5	-3
552	fffb	0002	-5	2
553	fff5	ffc2	-11	-62
554	0004	0000	4	0
555	0004	fffc	4	-4
556	0003	0007	3	7
557	0002	fffb	2	-5
558	0004	0002	4	2
559	0004	fffd	4	-3
560	0016	0069	22	105
561	0038	ffb3	56	-77
562	0004	0000	4	0
563	0003	fffb	3	-5
564	0001	0006	1	6
565	0004	fff6	4	-10
566	0003	0002	3	2
567	0004	fffe	4	-2
568	0036	0040	54	64
569	fffc	ffe0	-4	-32
570	0004	0001	4	1
571	0004	fffd	4	-3
572	0006	000c	6	12
573	0004	fff9	4	-7
574	0004	0004	4	4
575	0004	0000	4	0
576	feb6	fdba	-330	-582
577	0035	fe8f	53	-369
578	0004	0000	4	0
579	0004	fffb	4	-5
580	0002	0004	2	4
581	0005	fff2	5	-14
582	0002	0002	2	2
583	0002	fffd	2	-3
584	0005	001b	5	27
585	ff8b	ff9b	-117	-101
586	0004	0000	4	0
587	0005	fffd	5	-3
588	0003	0008	3	8
589	0004	fff6	4	-10
590	0005	0003	5	3
591	0006	ffff	6	-1
592	fe0b	fee5	-501	-283
593	ff3e	fffd	-194	-3
594	0004	0000	4	0
595	0004	fffb	4	-5
596	0003	0005	3	5
597	0004	fff6	4	-10
598	0005	0001	5	1
599	0004	fffe	4	-2
600	0007	fffa	7	-6
601	0008	ffed	8	-19
602	0004	0001	4	1
603	0004	fffd	4	-3
604	0001	0007	1	7
605	0003	fffb	3	-5
606	0004	0004	4	4
607	0005	0000	5	0
608	ff5c	ffd4	-164	-44
609	fc0b	f9cf	-1013	-1585
610	0004	0000	4	0
611	0004	fffb	4	-5
612	0003	0004	3	4
613	0003	fff6	3	-10
614	0004	0001	4	1
615	0004	fffe	4	-2
616	000c	ffff	12	-1
617	0042	ff67	66	-153
618	0003	0001	3	1
619	0004	fffc	4	-4
620	0002	0008	2	8
621	0004	fff8	4	-8
622	0004	0003	4	3
623	0004	fffe	4	-2
624	ffcb	0259	-53	601
625	00a6	fea4	166	-348
626	0004	0000	4	0
627	0003	fffc	3	-4
628	0002	0005	2	5
629	0003	fff9	3	-7
630	0003	0003	3	3
631	0004	ffff	4	-1
632	0026	ffd3	38	-45
633	fffd	fff8	-3	-8
634	0004	0001	4	1
635	0004	fffe	4	-2
636	0004	fffe	4	-2
637	0004	fffa	4	-6
638	0004	0003	4	3
639	0004	0000	4	0
640	053d	fdae	1341	-594
641	fe9f	0099	-353	153
642	0004	0000	4	0
643	0002	fffb	2	-5
644	0003	0004	3	4
645	0002	ffef	2	-17
646	0004	0000	4	0
647	0002	fffd	2	-3
648	000b	0001	11	1
649	ffc9	ffe7	-55	-25
650	0005	0001	5	1
651	0004	fffd	4	-3
652	ffff	0007	-1	7
653	0003	fff8	3	-8
654	0003	0003	3	3
655	0004	fffe	4	-2
656	0091	fe91	145	-367
657	00b1	fe4b	177	-437
658	0004	0000	4	0
659	0003	fffb	3	-5
660	0003	0004	3	4
661	0003	fff6	3	-10
662	0003	0001	3	1
663	0004	fffd	4	-3
664	0011	0010	17	16
665	ffd4	003b	-44	59
666	0004	0000	4	0
667	0004	fffc	4	-4
668	0005	0007	5	7
669	0003	fff9	3	-7
670	0004	0003	4	3
671	0004	ffff	4	-1
672	ffc0	ffbf	-64	-65
673	fef6	fe0e	-266	-498
674	0004	0000	4	0
675	0004	fffc	4	-4
676	0002	0005	2	5
677	0004	fff2	4	-14
678	0003	0002	3	2
679	0004	fffd	4	-3
680	0005	0017	5	23
681	008a	fff3	138	-13
682	0004	0001	4	1
683	0001	fffe	1	-2
684	0003	0007	3	7
685	0004	fff9	4	-7
686	0003	0003	3	3
687	0005	ffff	5	-1
688	ff2e	ff5c	-210	-164
689	0007	ffcd	7	-51
690	0004	0000	4	0
691	0004	fffb	4	-5
692	0003	0006	3	6
693	0003	fff6	3	-10
694	0005	0002	5	2
695	0005	fffe	5	-2
696	ff4c	0031	-180	49
697	0006	fff6	6	-10
698	0004	0002	4	2
699	0004	fffd	4	-3
700	0005	000b	5	11
701	0004	fff8	4	-8
702	0004	0002	4	2
703	0004	ffff	4	-1
704	efff	0426	-4097	1062
705	fd65	037a	-667	890
706	0004	0000	4	0
707	0005	fffb	5	-5
708	0003	0004	3	4
709	0004	fff3	4	-13
710	0003	0001	3	1
711	0004	fffe	4	-2
712	0005	0009	5	9
713	0062	ffc7	98	-57
714	0004	0000	4	0
715	0005	fffc	5	-4
716	0002	0007	2	7
717	0003	fff8	3	-8
718	0003	0003	3	3
719	0004	fffe	4	-2
720	ff77	0004	-137	4
721	ffd6	ff3d	-42	-195
722	0004	0000	4	0
723	0004	fffa	4	-6
724	0004	0005	4	5
725	0002	fff7	2	-9
726	0003	0003	3	3
727	0005	fffd	5	-3
728	ffc2	0032	-62	50
729	0011	ffce	17	-50
730	0004	0001	4	1
731	0004	fffd	4	-3
732	0015	000f	21	15
733	0004	fff9	4	-7
734	0003	0001	3	1
735	0004	0000	4	0
736	00f8	ff78	248	-136
737	ff9f	fe18	-97	-488
738	0004	0000	4	0
739	0004	fffc	4	-4
740	0003	0004	3	4
741	fffe	fff6	-2	-10
742	0002	0000	2	0
743	0005	fffd	5	-3
744	ffee	001c	-18	28
745	0010	ffd4	16	-44
746	0004	0000	4	0
747	0005	fffe	5	-2
748	0003	0008	3	8
749	0004	fff6	4	-10
750	0003	0002	3	2
751	0004	fffe	4	-2
752	000b	003e	11	62
753	008c	ff5f	140	-161
754	0003	0000	3	0
755	0004	fffc	4	-4
756	0001	0006	1	6
757	0003	fff8	3	-8
758	0003	0003	3	3
759	0004	fffe	4	-2
760	002f	007a	47	122
761	ffee	ffed	-18	-19
762	0004	0001	4	1
763	0004	fffd	4	-3
764	0001	000d	1	13
765	0004	fffa	4	-6
766	0004	0003	4	3
767	0004	ffff	4	-1
768	060c	00b5	1548	181
769	060b	ff45	1547	-187
770	0004	0000	4	0
771	0004	fffb	4	-5
772	0003	0004	3	4
773	0001	fff0	1	-16
774	0004	0001	4	1
775	0005	fffd	5	-3
776	fff0	000f	-16	15
777	002f	ff83	47	-125
778	0004	0000	4	0
779	0004	fffb	4	-5
780	0003	0005	3	5
781	0002	fff8	2	-8
782	0004	0002	4	2
783	0003	fffe	3	-2
784	008c	009d	140	157
785	000b	ffbe	11	-66
786	0004	0000	4	0
787	0004	fffb	4	-5
788	0004	0006	4	6
789	0003	fff6	3	-10
790	0004	0001	4	1
791	0004	fffd	4	-3
792	0010	0028	16	40
793	ffec	ffe0	-20	-32
794	0004	0000	4	0
795	0002	fffd	2	-3
796	fffe	0007	-2	7
797	0004	fff9	4	-7
798	0004	0002	4	2
