346	fff9	fffe	-7	-2
347	fff9	0003	-7	3
348	fff8	fff5	-8	-11
349	fff7	0006	-9	6
350	fffa	fffa	-6	-6
351	fff9	0000	-7	0
352	03d3	fc65	979	-923
353	feb0	01f2	-336	498
354	fffa	0000	-6	0
355	fff9	0005	-7	5
356	fff8	fff9	-8	-7
357	fffd	000a	-3	10
358	fff9	fffd	-7	-3
359	fffa	0001	-6	1
360	0011	fff8	17	-8
361	fffe	002d	-2	45
362	fffa	ffff	-6	-1
363	fff8	0003	-8	3
364	fff9	fff4	-7	-12
365	fff8	0007	-8	7
366	fffa	fffb	-6	-5
367	fff8	0000	-8	0
368	005f	ffe2	95	-30
369	fe35	01a1	-459	417
370	fffa	ffff	-6	-1
371	fff9	0005	-7	5
372	fff9	fff8	-7	-8
373	fffc	0008	-4	8
374	fffb	fffb	-5	-5
375	fff9	0000	-7	0
376	004f	0079	79	121
377	0000	0011	0	17
378	fff9	fffd	-7	-3
379	fffa	0001	-6	1
380	fffb	ffef	-5	-17
381	fffa	0004	-6	4
382	fffb	fff9	-5	-7
383	fff9	ffff	-7	-1
384	fff7	034f	-9	847
385	fff4	fcac	-12	-852
386	fffa	0000	-6	0
387	fffb	0006	-5	6
388	fffb	fffa	-5	-6
389	fffa	0010	-6	16
390	fffa	fffe	-6	-2
391	fff9	0002	-7	2
392	0000	ffed	0	-19
393	004f	ff83	79	-125
394	fffa	fffe	-6	-2
395	fffb	0004	-5	4
396	fffd	fff6	-3	-10
397	fff9	0007	-7	7
398	fffa	fffb	-6	-5
399	fff9	0001	-7	1
400	fe37	fe5d	-457	-419
401	0060	001c	96	28
402	fffa	ffff	-6	-1
403	fffb	0005	-5	5
404	fffa	fff8	-6	-8
405	fff9	000a	-7	10
406	fff9	fffc	-7	-4
407	fffa	0001	-6	1
408	0000	ffd2	0	-46
409	0012	0006	18	6
410	fffb	fffe	-5	-2
411	fff9	0002	-7	2
412	fffe	fff4	-2	-12
413	fff8	0005	-8	5
414	fffa	fffa	-6	-6
415	fffa	0000	-6	0
416	feb2	fe0b	-334	-501
417	03d3	0399	979	921
418	fffa	ffff	-6	-1
419	fffa	0006	-6	6
420	fff9	fff9	-7	-7
421	fff7	000a	-9	10
422	fffa	fffd	-6	-3
423	fff8	0002	-8	2
424	0008	fff5	8	-11
425	0002	ffde	2	-34
426	fffa	fffe	-6	-2
427	fffb	0002	-5	2
428	fffc	fff5	-4	-11
429	fff9	0007	-7	7
430	fff9	fffa	-7	-6
431	fff8	0000	-8	0
432	005c	00bc	92	188
433	0008	002c	8	44
434	fffa	ffff	-6	-1
435	fffa	0004	-6	4
436	fff9	fff6	-7	-10
437	fff9	0009	-7	9
438	fffa	fffd	-6	-3
439	fff9	0001	-7	1
440	ffc6	0005	-58	5
441	0009	001b	9	27
442	fffa	fffd	-6	-3
443	fffa	0002	-6	2
444	fffd	fff3	-3	-13
445	fffa	0006	-6	6
446	fffa	fffa	-6	-6
447	fff9	0000	-7	0
448	fdc8	fc28	-568	-984
449	003a	0497	58	1175
450	fffa	ffff	-6	-1
451	fff9	0005	-7	5
452	fffa	fff8	-6	-8
453	fffc	0008	-4	8
454	fffa	fffc	-6	-4
455	fffa	0001	-6	1
456	ffee	ffee	-18	-18
457	0042	0077	66	119
458	fffa	fffe	-6	-2
459	fff9	0004	-7	4
460	fffa	fff7	-6	-9
461	fff9	0008	-7	8
462	fffa	fffb	-6	-5
463	fff9	0001	-7	1
464	fff8	ffe3	-8	-29
465	feee	fded	-274	-531
466	fffa	ffff	-6	-1
467	fffa	0004	-6	4
468	fff9	fff6	-7	-10
469	fff8	0008	-8	8
470	fffa	fffc	-6	-4
471	fff9	0000	-7	0
472	0008	000c	8	12
473	fff5	0024	-11	36
474	fff9	fffd	-7	-3
475	fff9	0002	-7	2
476	0001	fff1	1	-15
477	fff9	0007	-7	7
478	fffa	fffb	-6	-5
479	fff9	0000	-7	0
480	00ca	feff	202	-257
481	ffd4	008f	-44	143
482	fffa	ffff	-6	-1
483	fff9	0006	-7	6
484	fff9	fff7	-7	-9
485	fffa	0009	-6	9
486	fffa	fffd	-6	-3
487	fffa	0001	-6	1
488	ffee	ffe3	-18	-29
489	001c	0011	28	17
490	fffa	fffe	-6	-2
491	fffa	0004	-6	4
492	fffa	fff3	-6	-13
493	fffa	0007	-6	7
494	fffa	fffa	-6	-6
495	fff9	0000	-7	0
496	000e	ff27	14	-217
497	fefb	ffe9	-261	-23
498	fff9	fffe	-7	-2
499	fff9	0004	-7	4
500	fffc	fff4	-4	-12
501	fffa	0008	-6	8
502	fffa	fffb	-6	-5
503	fff9	ffff	-7	-1
504	ff60	0034	-160	52
505	fffc	0013	-4	19
506	fffb	fffd	-5	-3
507	fff9	0002	-7	2
508	000b	fff5	11	-11
509	fffa	0005	-6	5
510	fffa	fffa	-6	-6
511	fff9	0000	-7	0
512	0082	fff7	130	-9
513	ffbd	ff96	-67	-106
514	fffa	0000	-6	0
515	fffa	0006	-6	6
516	fffa	fff9	-6	-7
517	fffe	000b	-2	11
518	fffa	fffd	-6	-3
519	fffa	0003	-6	3
520	fffa	fff7	-6	-9
521	ffd2	ffd3	-46	-45
522	fffa	ffff	-6	-1
523	fff9	0005	-7	5
524	fff9	fff8	-7	-8
525	fffb	0007	-5	7
526	fffb	fffb	-5	-5
527	fff9	0001	-7	1
528	003b	fff1	59	-15
529	fd35	0125	-715	293
530	fff9	ffff	-7	-1
531	fff9	0005	-7	5
532	fffb	fff8	-5	-8
533	fff9	000c	-7	12
534	fff9	fffd	-7	-3
535	fffa	0001	-6	1
536	fff9	002d	-7	45
537	fffa	0033	-6	51
538	fff9	fffd	-7	-3
539	fff9	0004	-7	4
540	fff9	fff6	-7	-10
541	fff9	0006	-7	6
542	fff9	fffa	-7	-6
543	fff8	ffff	-8	-1
544	0029	008e	41	142
545	03d7	008b	983	139
546	fffa	ffff	-6	-1
547	fffa	0005	-6	5
548	fff9	fff8	-7	-8
549	0005	000a	5	10
550	fffa	fffd	-6	-3
551	fffb	0002	-5	2
552	fffc	ffee	-4	-18
553	000b	fff7	11	-9
554	fffa	fffe	-6	-2
555	fff9	0004	-7	4
556	fff9	fff6	-7	-10
557	fff7	0006	-9	6
558	fff9	fffb	-7	-5
559	fff9	0000	-7	0
560	0036	ffab	54	-85
561	fffd	00e4	-3	228
562	fffa	ffff	-6	-1
563	fff9	0003	-7	3
564	fffa	fff7	-6	-9
565	fff9	000a	-7	10
566	fffa	fffc	-6	-4
567	fff9	0002	-7	2
568	ffc8	ffd4	-56	-44
569	0000	0039	0	57
570	fff9	fffe	-7	-2
571	fff8	0003	-8	3
572	fff6	fff1	-10	-15
573	fffa	0006	-6	6
574	fffb	fffa	-5	-6
575	fffa	0000	-6	0
576	ff42	fd79	-190	-647
577	fff4	01b8	-12	440
578	fffa	0000	-6	0
579	fffb	0006	-5	6
580	fffb	fff9	-5	-7
581	fffc	000a	-4	10
582	fff9	fffc	-7	-4
583	fffa	0002	-6	2
584	fffc	fff0	-4	-16
585	ffab	0028	-85	40
586	fffa	fffd	-6	-3
587	fffa	0004	-6	4
588	fff9	fff6	-7	-10
589	fff8	0008	-8	8
590	fffa	fffb	-6	-5
591	fff9	0000	-7	0
592	feff	fe58	-257	-424
593	ff90	00b0	-112	176
594	fff9	0000	-7	0
595	fffa	0005	-6	5
596	fffa	fff8	-6	-8
597	fffa	0008	-6	8
598	fffa	fffc	-6	-4
599	fff9	0001	-7	1
600	ffc3	ffb6	-61	-74
601	000f	0011	15	17
602	fff9	fffe	-7	-2
603	fff9	0003	-7	3
604	fffa	fff5	-6	-11
605	fff8	0005	-8	5
606	fffa	fffa	-6	-6
607	fff8	ffff	-8	-1
608	0128	00a5	296	165
609	fadf	0383	-1313	899
610	fffa	ffff	-6	-1
