575	ffff	ffff	-1	-1
576	00b2	fe1f	178	-481
577	fed2	ff02	-302	-254
578	0000	0000	0	0
579	0000	ffff	0	-1
580	0000	ffff	0	-1
581	0012	0002	18	2
582	0000	0000	0	0
583	ffff	0000	-1	0
584	0003	fffd	3	-3
585	ffee	fffc	-18	-4
586	0000	0000	0	0
587	0000	0000	0	0
588	0000	fffa	0	-6
589	0001	fffe	1	-2
590	0000	0000	0	0
591	0000	ffff	0	-1
592	fec1	00f2	-319	242
593	ffcc	0015	-52	21
594	0000	0000	0	0
595	0000	0000	0	0
596	0000	0000	0	0
597	0012	0002	18	2
598	0000	0000	0	0
599	0000	0000	0	0
600	001f	fff3	31	-13
601	fffa	001e	-6	30
602	0000	0000	0	0
603	0000	ffff	0	-1
604	ffff	0000	-1	0
605	0000	fffe	0	-2
606	0000	ffff	0	-1
607	ffff	ffff	-1	-1
608	014c	000a	332	10
609	ff17	ff89	-233	-119
610	0000	0000	0	0
611	0000	ffff	0	-1
612	0000	0000	0	0
613	fffb	fffb	-5	-5
614	0000	0000	0	0
615	0000	ffff	0	-1
616	001d	ffcd	29	-51
617	005b	0058	91	88
618	0000	0000	0	0
619	0000	ffff	0	-1
620	fffb	0002	-5	2
621	0000	ffff	0	-1
622	0000	0000	0	0
623	0000	ffff	0	-1
624	fff8	ffb3	-8	-77
625	0062	fec2	98	-318
626	0000	0000	0	0
627	0000	ffff	0	-1
628	0000	0000	0	0
629	0001	ffed	1	-19
630	0000	0000	0	0
631	ffff	ffff	-1	-1
632	0015	005f	21	95
633	000e	0018	14	24
634	0000	0000	0	0
635	0000	0000	0	0
636	fff8	fffd	-8	-3
637	0000	ffff	0	-1
638	0000	ffff	0	-1
639	ffff	ffff	-1	-1
640	0046	0032	70	50
641	ffd4	ff77	-44	-137
642	0000	ffff	0	-1
643	0000	ffff	0	-1
644	0000	ffff	0	-1
645	000c	fff8	12	-8
646	0000	0000	0	0
647	0000	0000	0	0
648	ffe8	ffe2	-24	-30
649	0017	ffa6	23	-90
650	0000	ffff	0	-1
651	0000	0000	0	0
652	0003	fff5	3	-11
653	0001	fffe	1	-2
654	0000	0000	0	0
655	0000	ffff	0	-1
656	007c	0079	124	121
657	001c	ff85	28	-123
658	0000	0000	0	0
659	0000	ffff	0	-1
660	0000	0000	0	0
661	0001	fffe	1	-2
662	0000	0000	0	0
663	0000	0000	0	0
664	ffc3	ffd5	-61	-43
665	005b	ffbe	91	-66
666	0000	0000	0	0
667	0000	ffff	0	-1
668	0000	0001	0	1
669	0000	fffe	0	-2
670	0000	ffff	0	-1
671	0000	ffff	0	-1
672	ffbc	0079	-68	121
673	fe41	fe6c	-447	-404
674	0000	0000	0	0
675	0000	0000	0	0
676	0000	0000	0	0
677	fffd	ffdf	-3	-33
678	0000	0000	0	0
679	ffff	0000	-1	0
680	0004	ffe1	4	-31
681	0032	001f	50	31
682	0000	0000	0	0
683	0000	ffff	0	-1
684	fff6	0000	-10	0
685	0001	ffff	1	-1
686	0000	0000	0	0
687	0000	ffff	0	-1
688	ffbb	ff8c	-69	-116
689	ffbe	ffaa	-66	-86
690	0000	0000	0	0
691	0000	ffff	0	-1
692	0000	0000	0	0
693	0000	fffe	0	-2
694	0000	0000	0	0
695	ffff	ffff	-1	-1
696	0046	005d	70	93
697	fffa	fff2	-6	-14
698	0000	0000	0	0
699	ffff	0000	-1	0
700	0000	000a	0	10
701	0000	ffff	0	-1
702	0000	0000	0	0
703	ffff	0000	-1	0
704	02f0	ffcd	752	-51
705	001a	fef7	26	-265
706	0000	0000	0	0
707	0000	0000	0	0
708	0000	0000	0	0
709	fffd	fff2	-3	-14
710	0000	0000	0	0
711	ffff	ffff	-1	-1
712	0015	0003	21	3
713	ffd7	ff54	-41	-172
714	0000	0000	0	0
715	0000	0000	0	0
716	0000	0000	0	0
717	0001	fffe	1	-2
718	0000	0000	0	0
719	0000	ffff	0	-1
720	ffcd	0007	-51	7
721	0009	ffa7	9	-89
722	0000	0000	0	0
723	0000	ffff	0	-1
724	0000	0000	0	0
725	0001	fffe	1	-2
726	0000	0000	0	0
727	ffff	0000	-1	0
728	0050	ffd4	80	-44
729	ffee	fff7	-18	-9
730	0000	0000	0	0
731	0000	0000	0	0
732	fff7	ffd6	-9	-42
733	0000	ffff	0	-1
734	0000	0000	0	0
735	0000	0000	0	0
736	ffa9	ff32	-87	-206
737	0055	ffe3	85	-29
738	0000	0000	0	0
739	0000	0000	0	0
740	0000	0000	0	0
741	0001	fff2	1	-14
742	0000	0000	0	0
743	0000	0000	0	0
744	ffca	000a	-54	10
745	ffee	0000	-18	0
746	0000	0000	0	0
747	0000	ffff	0	-1
748	0005	0005	5	5
749	0001	fffe	1	-2
750	0000	0000	0	0
751	0000	0000	0	0
752	ff95	ff7e	-107	-130
753	00aa	fffe	170	-2
754	0000	0000	0	0
755	0000	ffff	0	-1
756	0001	0000	1	0
757	0000	fffd	0	-3
758	0000	ffff	0	-1
759	0000	ffff	0	-1
760	ff9b	0005	-101	5
761	ffe2	ffe7	-30	-25
762	0000	0000	0	0
763	0000	ffff	0	-1
764	0008	0006	8	6
765	0000	ffff	0	-1
766	0000	0000	0	0
767	0000	ffff	0	-1
768	ffaf	00f0	-81	240
769	ffab	ff0a	-85	-246
770	0000	ffff	0	-1
