361	0022	ffc7	34	-57
362	0012	0004	18	4
363	0012	fff5	18	-11
364	0010	0021	16	33
365	0011	ffe8	17	-24
366	0012	000e	18	14
367	0012	fffc	18	-4
368	0093	00a0	147	160
369	0376	ff61	886	-159
370	0014	0003	20	3
371	0013	fff1	19	-15
372	0012	001b	18	27
373	0016	ffdb	22	-37
374	0013	000c	19	12
375	0012	fffb	18	-5
376	fff6	00d6	-10	214
377	0026	ffd5	38	-43
378	0013	0005	19	5
379	0014	fff7	20	-9
380	0010	0035	16	53
381	0013	ffeb	19	-21
382	0014	0012	20	18
383	0012	ffff	18	-1
384	0563	fc4c	1379	-948
385	0562	03b0	1378	944
386	0012	0000	18	0
387	0014	ffec	20	-20
388	0012	0012	18	18
389	0010	ffc9	16	-55
390	0014	0007	20	7
391	0013	fff9	19	-7
392	0026	0028	38	40
393	fff5	ff27	-11	-217
394	0012	0004	18	4
395	0013	fff2	19	-14
396	0015	0022	21	34
397	0013	ffe3	19	-29
398	0013	000d	19	13
399	0013	fffb	19	-5
400	0375	009b	885	155
401	0093	ff5c	147	-164
402	0012	0001	18	1
403	0012	fff0	18	-16
404	0010	0015	16	21
405	0011	ffdc	17	-36
406	0012	0008	18	8
407	0012	fff9	18	-7
408	0021	0035	33	53
409	ffd7	ffa4	-41	-92
410	0013	0006	19	6
411	0014	fff4	20	-12
412	0011	0025	17	37
413	0012	ffe7	18	-25
414	0013	000e	19	14
415	0013	fffe	19	-2
416	ffaa	0092	-86	146
417	fff5	05f9	-11	1529
418	0012	0000	18	0
419	0014	ffed	20	-19
420	0012	0013	18	19
421	0012	ffc8	18	-56
422	0012	0007	18	7
423	0012	fff8	18	-8
424	fff3	0041	-13	65
425	0059	ff20	89	-224
426	0012	0003	18	3
427	0014	fff4	20	-12
428	000d	001f	13	31
429	0012	ffe5	18	-27
430	0013	000e	19	14
431	0012	fffc	18	-4
432	0216	00de	534	222
433	fddb	001f	-549	31
434	0013	0001	19	1
435	0013	fff1	19	-15
436	0013	0019	19	25
437	0013	ffe5	19	-27
438	0013	000b	19	11
439	0013	fffb	19	-5
440	004b	0061	75	97
441	000c	ffaa	12	-86
442	0012	0006	18	6
443	0012	fff6	18	-10
444	000c	001f	12	31
445	0014	ffec	20	-20
446	0014	0011	20	17
447	0012	ffff	18	-1
448	0315	fa1c	789	-1508
449	00cb	038d	203	909
450	0012	0000	18	0
451	0014	ffef	20	-17
452	0013	0014	19	20
453	0005	ffd5	5	-43
454	0013	0007	19	7
455	0013	fff7	19	-9
456	0033	003d	51	61
457	00d4	000c	212	12
458	0012	0003	18	3
459	0013	fff3	19	-13
460	0011	001b	17	27
461	0011	ffe6	17	-26
462	0012	000e	18	14
463	0011	fffc	17	-4
464	fff1	ff7d	-15	-131
465	0178	fd0b	376	-757
466	0013	0001	19	1
467	0014	fff1	20	-15
468	0014	001a	20	26
469	001a	ffdc	26	-36
470	0013	000a	19	10
471	0012	fffa	18	-6
472	0044	0037	68	55
473	fff5	ffa9	-11	-87
474	0013	0006	19	6
475	0013	fff6	19	-10
476	0008	000b	8	11
477	0013	ffea	19	-22
478	0012	0012	18	18
479	0013	fffe	19	-2
480	ffa3	0175	-93	373
481	ffde	fef0	-34	-272
482	0013	0001	19	1
483	0014	fff0	20	-16
484	0012	0016	18	22
485	0011	ffda	17	-38
486	0012	0009	18	9
487	0011	fff8	17	-8
488	0066	0048	102	72
489	004a	ff7f	74	-129
490	0013	0004	19	4
491	0013	fff4	19	-12
492	0011	0023	17	35
493	0016	ffe4	22	-28
494	0011	000f	17	15
495	0012	fffd	18	-3
496	ffef	014c	-17	332
497	0081	fd9a	129	-614
498	0011	0002	17	2
499	0013	fff2	19	-14
500	0011	0019	17	25
501	0016	ffe0	22	-32
502	0012	000a	18	10
503	0013	fffb	19	-5
504	005c	0159	92	345
505	000b	ffc5	11	-59
506	0012	0006	18	6
507	0013	fff8	19	-8
508	fff8	0014	-8	20
509	0014	ffeb	20	-21
510	0012	0014	18	20
511	0012	0000	18	0
512	ffee	ff3c	-18	-196
513	0078	0026	120	38
514	0013	0000	19	0
515	0013	ffeb	19	-21
516	0012	0013	18	19
517	0004	ffd3	4	-45
518	0013	0008	19	8
519	0012	fff6	18	-10
520	000b	003f	11	63
521	002e	ff87	46	-121
522	0013	0002	19	2
523	0012	fff2	18	-14
524	0017	0016	23	22
525	0017	ffe1	23	-31
526	0014	000c	20	12
527	0013	fffd	19	-3
528	ff85	ffbe	-123	-66
529	ff33	fb30	-205	-1232
530	0013	0001	19	1
531	0014	ffef	20	-17
532	0013	0018	19	24
533	0011	ffdb	17	-37
534	0012	000a	18	10
535	0012	fffa	18	-6
536	006d	0019	109	25
537	0016	fff1	22	-15
538	0012	0004	18	4
539	0012	fff6	18	-10
540	000c	0035	12	53
541	0012	ffe6	18	-26
542	0012	0010	18	16
543	0013	fffd	19	-3
544	ff85	0049	-123	73
545	fc52	f7a6	-942	-2138
546	0013	0000	19	0
547	0014	ffee	20	-18
548	0015	0016	21	22
549	0013	ffea	19	-22
550	0012	0008	18	8
551	0012	fff9	18	-7
552	fff4	005b	-12	91
553	0049	ffc7	73	-57
554	0013	0004	19	4
555	0013	fff3	19	-13
556	0016	001e	22	30
557	0011	ffe6	17	-26
558	0014	000d	20	13
559	0014	fffc	20	-4
560	ff50	0149	-176	329
561	ffbf	fe9e	-65	-354
562	0013	0002	19	2
563	0012	fff1	18	-15
564	0013	001a	19	26
565	0017	ffdf	23	-33
566	0013	000b	19	11
567	0012	fffb	18	-5
568	00cd	00f1	205	241
569	0018	ffab	24	-85
570	0012	0006	18	6
571	0012	fff5	18	-11
572	000d	0022	13	34
573	0014	ffea	20	-22
574	0012	0011	18	17
575	0012	ffff	18	-1
576	00f5	fe1b	245	-485
577	006d	ff5b	109	-165
578	0013	0000	19	0
579	0013	ffed	19	-19
580	0011	0011	17	17
581	0009	ffe3	9	-29
582	0013	0008	19	8
583	0013	fff7	19	-9
584	0012	000e	18	14
585	0002	ffd5	2	-43
586	0012	0004	18	4
587	0012	fff2	18	-14
588	0010	0017	16	23
589	0013	ffe6	19	-26
590	0013	000c	19	12
591	0012	fffc	18	-4
592	fbb2	002e	-1102	46
593	fdf1	ffb5	-527	-75
594	0013	0001	19	1
595	0013	fff0	19	-16
596	0012	0017	18	23
597	000f	ffdf	15	-33
598	0014	0008	20	8
599	0013	fffa	19	-6
600	0039	0046	57	70
601	0015	ffbe	21	-66
602	0013	0005	19	5
603	0013	fff6	19	-10
604	0013	0027	19	39
605	0013	ffe8	19	-24
606	0012	0010	18	16
607	0013	fffd	19	-3
608	ffeb	043f	-21	1087
609	fda8	0519	-600	1305
610	0012	0000	18	0
611	0013	ffee	19	-18
612	0014	0015	20	21
613	0012	ffd8	18	-40
614	0012	0009	18	9
615	0012	fff8	18	-8
616	ffe1	0035	-31	53
617	ffef	feda	-17	-294
618	0013	0004	19	4
619	0013	fff5	19	-11
620	0010	0020	16	32
621	0015	ffe7	21	-25
622	0013	000e	19	14
623	0013	fffc	19	-4
624	ff06	02ce	-250	718
625	01db	ffaf	475	-81
626	0012	0002	18	2
627	0014	fff2	20	-14
628	0013	001b	19	27
629	0010	ffdc	16	-36
630	0013	000c	19	12
631	0013	fffb	19	-5
632	0051	0031	81	49
633	001a	ffc2	26	-62
634	0013	0005	19	5
635	0012	fff6	18	-10
636	0017	0020	23	32
637	0012	ffec	18	-20
638	0012	0010	18	16
639	0013	fffe	19	-2
640	ff74	0538	-140	1336
641	fda8	0482	-600	1154
642	0012	0000	18	0
643	0013	ffec	19	-20
644	0012	0013	18	19
645	0023	ffc2	35	-62
646	0013	0008	19	8
647	0013	fff8	19	-8
648	002f	0030	47	48
649	0050	ffd1	80	-47
650	0013	0003	19	3
651	0012	fff2	18	-14
652	0012	001e	18	30
653	0014	ffe3	20	-29
654	0012	000b	18	11
655	0013	fffb	19	-5
656	ffea	0063	-22	99
657	feed	fe91	-275	-367
658	0013	0001	19	1
659	0014	fff0	20	-16
660	0014	0016	20	22
661	0011	ffdc	17	-36
662	0013	0009	19	9
663	0013	fffb	19	-5
664	001e	0008	30	8
665	ff5f	ff8b	-161	-117
666	0013	0005	19	5
667	0013	fff6	19	-10
668	0010	0027	16	39
669	0014	ffe7	20	-25
670	0014	000f	20	15
671	0013	fffd	19	-3
672	ff7e	0108	-130	264
673	fede	fa89	-290	-1399
674	0013	0000	19	0
675	0014	ffef	20	-17
676	0011	0016	17	22
677	0026	ffcf	38	-49
678	0012	0009	18	9
679	0013	fffa	19	-6
680	0013	0010	19	16
681	ffc6	ffb3	-58	-77
682	0013	0004	19	4
683	0013	fff5	19	-11
684	fffa	002a	-6	42
685	0012	ffe5	18	-27
686	0013	000d	19	13
687	0013	fffc	19	-4
688	0157	0072	343	114
689	fef0	ff25	-272	-219
690	0011	0002	17	2
691	0014	fff2	20	-14
692	0013	0019	19	25
693	0016	ffe0	22	-32
694	0013	000b	19	11
695	0012	fffb	18	-5
696	0015	ff52	21	-174
697	001e	ffa3	30	-93
698	0013	0006	19	6
699	0013	fff6	19	-10
700	000c	0020	12	32
701	0013	ffeb	19	-21
702	0013	0010	19	16
703	0013	ffff	19	-1
704	f8e2	f16e	-1822	-3730
705	0057	fa02	87	-1534
706	0012	0000	18	0
707	0013	ffee	19	-18
708	000f	0013	15	19
709	0011	ffe1	17	-31
710	0013	0006	19	6
711	0013	fff9	19	-7
712	001f	0040	31	64
713	fffa	0047	-6	71
714	0012	0004	18	4
715	0013	fff3	19	-13
716	0018	001e	24	30
717	0013	ffe4	19	-28
718	0012	000f	18	15
719	0013	fffc	19	-4
720	ffe1	0044	-31	68
721	004a	fe82	74	-382
722	0013	0002	19	2
723	0014	fff0	20	-16
724	0014	0018	20	24
725	0026	ffe1	38	-31
726	0012	000b	18	11
727	0012	fffb	18	-5
728	0049	fff0	73	-16
729	001c	001d	28	29
730	0013	0005	19	5
731	0013	fff6	19	-10
732	fffa	fff8	-6	-8
733	0012	ffeb	18	-21
734	0010	000f	16	15
735	0013	ffff	19	-1
736	00f2	fc19	242	-999
737	0085	fd94	133	-620
738	0013	0000	19	0
739	0013	ffef	19	-17
740	0012	0016	18	22
741	0011	ffd9	17	-39
742	0012	0009	18	9
743	0013	fff9	19	-7
744	0059	001e	89	30
745	0008	0016	8	22
746	0012	0004	18	4
747	0012	fff5	18	-11
748	001c	001c	28	28
749	0013	ffe7	19	-25
750	0012	000e	18	14
751	0013	fffc	19	-4
752	ffc7	00ce	-57	206
753	ffcd	ff98	-51	-104
754	0012	0003	18	3
755	0013	fff2	19	-14
756	0013	001b	19	27
757	0013	ffde	19	-34
758	0013	000c	19	12
759	0013	fffc	19	-4
760	004e	009c	78	156
761	0015	ffd4	21	-44
762	0012	0006	18	6
763	0013	fff7	19	-9
764	001e	0038	30	56
765	0014	ffea	20	-22
766	0012	0012	18	18
767	0012	fffe	18	-2
768	0662	028b	1634	651
769	0661	fd6f	1633	-657
770	0013	0000	19	0
