327	fffb	0001	-5	1
328	0004	ffe9	4	-23
329	ffbc	005b	-68	91
330	fffe	ffff	-2	-1
331	fffe	0002	-2	2
332	fffe	fffb	-2	-5
333	fffe	0002	-2	2
334	fffe	fffe	-2	-2
335	fffd	ffff	-3	-1
336	ff7a	00f8	-134	248
337	ff62	ff52	-158	-174
338	fffe	0000	-2	0
339	fffd	0001	-3	1
340	fffe	fffe	-2	-2
341	0001	0006	1	6
342	fffd	fffe	-3	-2
343	fffe	0000	-2	0
344	ffb9	0019	-71	25
345	fffd	0011	-3	17
346	fffe	ffff	-2	-1
347	fffd	0001	-3	1
348	0001	ffff	1	-1
349	fffd	0002	-3	2
350	fffd	fffd	-3	-3
351	fffd	ffff	-3	-1
352	fe81	05fb	-383	1531
353	ff86	ffe6	-122	-26
354	fffd	0000	-3	0
355	fffd	0001	-3	1
356	fffe	fffe	-2	-2
357	0000	0002	0	2
358	fffe	fffe	-2	-2
359	fffd	ffff	-3	-1
360	ffd4	0009	-44	9
361	0066	0028	102	40
362	fffd	0000	-3	0
363	fffc	0002	-4	2
364	ffff	fffb	-1	-5
365	fffc	0002	-4	2
366	fffd	fffe	-3	-2
367	fffd	0000	-3	0
368	0027	ffc3	39	-61
369	fd23	fee8	-733	-280
370	fffe	ffff	-2	-1
371	fffe	0001	-2	1
372	fffe	fffc	-2	-4
373	fff4	0000	-12	0
374	fffd	fffe	-3	-2
375	fffd	0000	-3	0
376	0092	ffae	146	-82
377	fff8	0000	-8	0
378	fffd	ffff	-3	-1
379	fffd	0001	-3	1
380	fffc	fff9	-4	-7
381	fffd	0001	-3	1
382	fffc	fffe	-4	-2
383	fffd	0000	-3	0
384	01f7	ffd4	503	-44
385	01f6	0028	502	40
386	fffe	0000	-2	0
387	fffc	0002	-4	2
388	ffff	fffe	-1	-2
389	fffc	0006	-4	6
390	fffe	ffff	-2	-1
391	fffe	0000	-2	0
392	fff9	fffe	-7	-2
393	0093	0050	147	80
394	fffe	ffff	-2	-1
395	fffd	0001	-3	1
396	fff5	fffe	-11	-2
397	fffd	0002	-3	2
398	fffe	fffe	-2	-2
399	fffd	ffff	-3	-1
400	fd24	0114	-732	276
401	0027	003b	39	59
402	fffe	0000	-2	0
403	fffd	0001	-3	1
404	fffd	fffd	-3	-3
405	fffe	0004	-2	4
406	fffb	fffe	-5	-2
407	fffd	ffff	-3	-1
408	0066	ffd6	102	-42
409	ffd3	fff3	-45	-13
410	fffe	ffff	-2	-1
411	fffe	0001	-2	1
412	0000	fffc	0	-4
413	fffd	0001	-3	1
414	fffe	fffe	-2	-2
415	fffd	ffff	-3	-1
416	ff88	0016	-120	22
417	fe7f	fa00	-385	-1536
418	fffe	0000	-2	0
419	fffd	0003	-3	3
420	fffe	fffd	-2	-3
421	0002	0000	2	0
422	fffe	ffff	-2	-1
423	fffd	0001	-3	1
424	fffe	ffee	-2	-18
425	ffb8	ffe4	-72	-28
426	fffe	0000	-2	0
427	fffd	0002	-3	2
428	0001	fff9	1	-7
429	fffc	0001	-4	1
430	fffd	fffe	-3	-2
431	fffd	ffff	-3	-1
432	ff64	00aa	-156	170
433	ff79	ff05	-135	-251
434	fffe	ffff	-2	-1
435	fffe	0001	-2	1
436	ffff	fffd	-1	-3
437	fffe	0004	-2	4
438	fffe	fffe	-2	-2
439	fffd	0000	-3	0
440	ffbd	ffa3	-67	-93
441	0004	0015	4	21
442	fffc	ffff	-4	-1
443	fffe	0000	-2	0
444	ffff	fffa	-1	-6
445	fffe	0002	-2	2
446	ffff	fffd	-1	-3
447	fffd	ffff	-3	-1
448	fcf2	0337	-782	823
449	01b4	fc9d	436	-867
450	fffe	0000	-2	0
451	fffe	0002	-2	2
452	fffd	fffe	-3	-2
453	fffd	0007	-3	7
