635	0009	fffb	9	-5
636	fffb	000d	-5	13
637	0008	fff5	8	-11
638	000e	0006	14	6
639	0008	ffff	8	-1
640	02d3	02c4	723	708
641	fd6a	018a	-662	394
642	0008	0000	8	0
643	0008	fff8	8	-8
644	0009	0007	9	7
645	0010	fff1	16	-15
646	0008	0003	8	3
647	0008	fffc	8	-4
648	fffe	0000	-2	0
649	ffef	001c	-17	28
650	0008	0001	8	1
651	0007	fff8	7	-8
652	0003	0009	3	9
653	0007	fff1	7	-15
654	0009	0005	9	5
655	0008	fffd	8	-3
656	005f	008f	95	143
657	0001	001b	1	27
658	0008	0000	8	0
659	0009	fff8	9	-8
660	0009	0008	9	8
661	0007	ffef	7	-17
662	0009	0004	9	4
663	0009	fffc	9	-4
664	ffba	004f	-70	79
665	000c	ff33	12	-205
666	0008	0001	8	1
667	0009	fffa	9	-6
668	0007	000e	7	14
669	000a	fff4	10	-12
670	0009	0006	9	6
671	0008	fffe	8	-2
672	00c5	00c3	197	195
673	028b	00a6	651	166
674	0009	0000	9	0
675	0009	fff8	9	-8
676	0007	000d	7	13
677	fffb	ffe5	-5	-27
678	0009	0003	9	3
679	0009	fffc	9	-4
680	ffdd	0037	-35	55
681	ffd0	0002	-48	2
682	0009	0001	9	1
683	0009	fffa	9	-6
684	fff1	0017	-15	23
685	0009	fff7	9	-9
686	0008	0006	8	6
687	0009	fffe	9	-2
688	002d	00ed	45	237
689	ffc1	00c7	-63	199
690	0009	0000	9	0
691	000a	fff9	10	-7
692	000e	0008	14	8
693	0005	ffef	5	-17
694	0009	0005	9	5
695	0008	fffe	8	-2
696	00a2	ff96	162	-106
697	fff6	ffe2	-10	-30
698	0009	0003	9	3
699	0009	fffb	9	-5
700	0011	0011	17	17
701	0009	fff4	9	-12
702	0009	0006	9	6
703	0009	ffff	9	-1
704	f0eb	f738	-3861	-2248
705	feec	ffbb	-276	-69
706	0008	0000	8	0
707	0007	fff6	7	-10
708	0007	0006	7	6
709	0003	ffe8	3	-24
710	0008	0003	8	3
711	0009	fffc	9	-4
712	fff2	0010	-14	16
713	ffcc	ffd6	-52	-42
714	0009	0001	9	1
715	0008	fff9	8	-7
716	000d	0015	13	21
717	0009	fff2	9	-14
718	0008	0005	8	5
719	0008	fffe	8	-2
720	0065	ff2b	101	-213
721	0067	0076	103	118
722	0008	0000	8	0
723	0009	fff8	9	-8
724	0008	0008	8	8
725	0017	fff3	23	-13
726	0009	0004	9	4
